Shoe,"D874,103",,"Matsuo; Edson (Porto Alegre, BR)",Grendene S/A,"Current U.S. Class: D2/944; D2/900; D2/908 Current International Class: 0202 Field of Search: ;D2/906-908,943-947,950,962,969,972-974,976-978",Grendene S/A,BR,No other references field
"Serial quantitative PCR assay for detection, species-discrimination and quantification of Leishmania spp. in human samples","9,551,040",C12Q 1/6893 (20130101); C12Q 1/6816 (20130101); C12Q 2600/16 (20130101); C12Q 2600/158 (20130101); Y02A 50/55 (20180101),"C12Q 1/68 (20060101)Wilson; Mary E. (Iowa City, IA), Weirather; Jason (Iowa City, IA), Donelson; John E. (Iowa City, IA), Schriefer; Albert (Bahia, BR), Carvalho; Edgar (Salvador, BA, BR), Jeronimo; Selma M. B. (RN, BR)",Wilson; Mary E. Weirather; Jason Donelson; John E. Schriefer; Albert Carvalho; Edgar Jeronimo; Selma M. B.,"The invention provides a method for determining the presence, species, and/or quantity of Leishmania in a sample.",The United States of America as represented by the Department of Veterans Affairs,US US US BR BR BR,No other references field

Sliding component for use in an internal combustion engine,"9,550,953",C23C 14/0641 (20130101); C23C 28/42 (20130101); C23C 28/343 (20130101); C23C 14/0605 (20130101); C23C 28/341 (20130101); C23C 28/322 (20130101); C23C 30/005 (20130101); C23C 14/0635 (20130101); C23C 28/34 (20130101); C10M 103/06 (20130101); C23C 14/34 (20130101); C23C 14/32 (20130101); C23C 14/024 (20130101); C10M 2201/061 (20130101); C10M 2201/041 (20130101),"C23C 14/06 (20060101); C10M 103/06 (20060101); C23C 14/02 (20060101); C23C 14/32 (20060101); C23C 14/34 (20060101); C23C 30/00 (20060101)Avelar Araujo; Juliano (Jundiai, BR), Costa; Nuno (Mealhada, PT)",Mahle--Metal Leve S/A Mahle International GmbH,A sliding component for an internal combustion engine may include a ferrous base having a peripheral sliding surface covered with a protective layer including at least one of a nitride applied via physical vapor deposition and a nitrided layer. The base may include a coating of carbon of a diamond-like carbon type. The coating may include at least one of (i) a transition layer including a composition of WC.sub.1-X and (ii) a layer of metallic chromium of crystalline structure disposed between the ferrous base and an outer layer of amorphous carbon. The coating may also include an intermediate layer of a nanocrystalline phase of carbides in a multilayer structure having a first sub-layer including a composition different than a second sub-layer disposed under the outer layer.,Mahle Metal Leve S/A,BR DE,No other references field

"Flaring and swaging bits, and methods using same","9,550,223",B21D 19/08 (20130101); B21D 39/08 (20130101); B21D 41/021 (20130101),"B21D 39/08 (20060101); B21D 41/02 (20060101); B21D 19/08 (20060101)Anjos; Bruno (Sao Jose, BR)",Anjos; Bruno,"Embodiments provide improved flaring and swaging bits, and methods for flaring and swaging.",52741656,BR,No other references field

Flotation of silicates from ores,"9,550,191",B03D 1/02 (20130101); B03D 1/011 (20130101); B03D 1/01 (20130101); B03D 2201/007 (20130101); B03D 2203/04 (20130101); B03D 2201/02 (20130101); B03D 2203/06 (20130101),"B03D 1/01 (20060101); B03D 1/001 (20060101); B03D 1/02 (20060101)De Lima; Odair Alves (Sao Paulo, BR), Albino; Kelly Ivone Pina (Sao Paulo, BR)",Akzo Nobel Chemicals International B.V.,"The present invention relates to a method for the flotation of silicates from ores in the presence of a collecting agent and an effective amount of a froth modifier/collecting booster comprising at least one of the compounds of general formula (I) or mixtures thereof: wherein X is C1-C3 alkyl; R' is straight or branched hydrocarbyl group containing 8 to 22 carbon atoms; n is integer from 2-4; m can vary from 0 to 2 and R' is X or --(CH2).sub.n-N(X).sub.2, with the proviso that when R' is --(CH2).sub.n-N(X).sub.2, then m is 1. ##STR00001##",AKZO NOBEL CHEMICALS INTERNATIONAL B.V.,NL,No other references field

"Diagnostic device, therapeutic device, and uses thereof","9,550,072",A61N 5/062 (20130101); A61B 1/0638 (20130101); A61B 1/043 (20130101); A61B 5/0071 (20130101); A61N 5/0603 (20130101); A61B 5/4836 (20130101); A61B 5/4331 (20130101); A61B 1/0646 (20130101); A61B 1/0661 (20130101); A61B 1/06 (20130101); A61B 1/303 (20130101); A61B 1/00186 (20130101); A61N 2005/0651 (20130101); A61N 2005/0611 (20130101); A61N 2005/0626 (20130101),"A61B 8/00 (20060101); A61B 1/303 (20060101); A61B 1/00 (20060101); A61B 5/00 (20060101); A61N 5/06 (20060101); A61B 1/04 (20060101); A61B 1/06 (20060101)Trujillo; Jose Roberto (Rockville, MD), Ribeiro; Fernando de Moraes Mendonc (Sao Carlos, BR)","Cerca Solutions, LLC","Apparatus, method, computing devices, and computer programs related to photodiagnosis and photodynamic therapy, methods of use thereof, and a method for detecting abnormal tissue, are provided.","CERCA SOLUTIONS, LLC",US,No other references field

Rinse-off skin care compositions containing cellulosic materials,"9,549,890",A61K 8/0241 (20130101); A61Q 19/00 (20130101); A61Q 19/008 (20130101); A61K 8/92 (20130101); A61K 8/9789 (20170801); A61Q 5/02 (20130101); A61Q 19/10 (20130101); A61K 8/0245 (20130101); A61K 8/42 (20130101); A61K 8/027 (20130101); A61K 8/731 (20130101); A61K 8/8152 (20130101); A61K 8/9794 (20170801); A61K 8/97 (20130101); A61K 2800/412 (20130101); A61K 2800/524 (20130101); A61K 2800/70 (20130101); A61K 2800/596 (20130101); A61K 2800/624 (20130101),"A61K 8/73 (20060101); A61Q 19/10 (20060101); A61Q 19/00 (20060101); A61K 8/02 (20060101)Bonner; Patricia (Branchburg, NJ), Kaminski; Claudia (Milford, NJ), Lorenzetti; Danielle Lima (Villa Branca, Jacarei/SP, BR), Maitra; Prithwiraj (Belle Mead, NJ), Moscardi; Juliana Salles (Sao Jose dos Campos/SP, BR), Wu; Jeffrey M. (Princeton, NJ)",JOHNSON & JOHNSON CONSUMER INC.,"The compositions and methods of this invention relate to a rinse-off skin care composition containing hydrophobic, linear cellulose particles having an average length of from about 1 to about 1000 .mu.m, a particle aspect ratio from about 1000 to about 2 and a thickness of from about 1 to about 500 .mu.m; at least one cleansing agent selected from the group consisting of a saponified fat and a surfactant; and a cosmetically acceptable carrier.",Johnson & Johnson Consumer Inc.,US,No other references field

Rinse-off skin care compositions containing cellulosic materials,"9,549,889",A61K 8/8152 (20130101); A61Q 5/02 (20130101); A61K 8/9794 (20170801); A61K 8/0241 (20130101); A61Q 19/008 (20130101); A61K 8/027 (20130101); A61K 8/97 (20130101); A61K 8/0245 (20130101); A61K 8/9789 (20170801); A61K 8/92 (20130101); A61K 8/42 (20130101); A61Q 19/00 (20130101); A61K 8/731 (20130101); A61Q 19/10 (20130101); A61K 2800/412 (20130101); A61K 2800/524 (20130101); A61K 2800/70 (20130101); A61K 2800/624 (20130101); A61K 2800/596 (20130101),"A61K 8/73 (20060101); A61Q 19/00 (20060101); A61K 8/02 (20060101); A61Q 19/10 (20060101)Bonner; Patricia (Branchburg, NJ), Kaminski; Claudia (Milford, NJ), Lorenzetti; Danielle Lima (Jacarei, BR), Maitra; Prithwiraj (Bella Mead, NJ), Moscardi; Juliana Salles (Sao Jose dos Campos, BR), Wu; Jeffrey M. (Princeton, NJ)",JOHNSON & JOHNSON CONSUMER INC.,"The compositions and methods of this invention relate to a rinse-off skin care composition containing hydrophobic, linear cellulose particles having an average length of from about 1 to about 1000 .mu.m, a particle aspect ratio from about 1000 to about 2 and a thickness of from about 1 to about 500 .mu.m; at least one cleansing agent selected from the group consisting of a saponified fat and a surfactant; and a cosmetically acceptable carrier.",Johnson & Johnson Consumer Inc.,US,No other references field

Collapsible prosthetic heart valves,"9,549,815",A61F 2/2412 (20130101); A61F 2/2418 (20130101); A61F 2/89 (20130101); A61F 2/2433 (20130101); A61F 2/2403 (20130101); A61F 2/2409 (20130101); A61F 2/2415 (20130101); A61F 2220/0075 (20130101); A61F 2230/0054 (20130101); A61F 2220/0008 (20130101); A61F 2230/0006 (20130101); A61F 2230/0069 (20130101),"A61F 2/24 (20060101); A61F 2/89 (20130101)Braido; Peter N. (Wyoming, MN), McCarthy; Andrea L. (Vadnais Heights, MN), Figueiredo; Rubem L. (Contagem, BR), Schraut; Julia A. (Shoreview, MN)","St. Jude Medical, Inc.","A prosthetic heart valve includes a balloon-expandable stent including a plurality of struts and a plurality of commissure posts, each commissure post containing an elongated slot. A plurality of leaflets is made from pericardial tissue and includes flaps. An intermediate polymer sheet is disposed between the stent and the plurality of leaflets. At least one reinforcing polymer core is attached to at least one leaflet and the intermediate polymer sheet using stitches that loop around an end of the at least one leaflet. A plurality of patches covers the elongated slots of the commissure posts, the flaps of the leaflets being attached to the patches. A cuff contacts an exterior of the stent, the cuff and the intermediate polymer sheet sutured to one another so as to cover an axial end of the stent.","St. Jude Medical, Inc.",US,No other references field

Vehicle nudge bar,"D776,583",,"Scheer; Richard F. (Bloomfield Township, MI), Ikeda; Morio (Sao Paulo, BR), Mine; Eduardo H. (Sao Caetano Sul, BR), Rolin; Lamildson (Sao Caetano Do Sul, BR), Rodrigues; Danilo C. (Sao Paulo, BR), Fonseca; Andre Leal (Sao Paulo, BR)",GM GLOBAL TECHNOLOGY OPERATIONS LLC,"Current U.S. Class: D12/171 Current International Class: 1208 Field of Search: ;D12/86-92,163-172 ;293/102-155 ;296/35.2,193.09,193.1,203.02",GM Global Technology Operations LLC,US,No other references field

Package for cosmetic products,"D776,524",,"Albano; Fulvio Gargano (Cajamar, BR), De Macedo; Tomas Miller Tavares (Sao Paulo, BR), Salles; Fernanda Saboia (Sao Paulo, BR), Morgado; Juliana Ahualli Pires (Cajamar, BR)",Natura Cosmeticos S.A.,"Current U.S. Class: D9/428; D9/549; D9/552 Current International Class: 0903 Field of Search: ;D9/434-435,444-445,454,500,502-505,516,529,549,555,558,568,575 ;D28/4-8,73,76-77,91",NATURA COSMETICOS S.A.,BR,No other references field

Collapsible sign post,"9,548,010",E01F 9/615 (20160201); E01F 9/635 (20160201); F16L 3/26 (20130101); F16M 11/22 (20130101); G09F 15/0075 (20130101),"G09F 15/00 (20060101); F16M 11/22 (20060101); F16L 3/26 (20060101)Cunha; Fabio Eduardo Sabonge (Sao Paulo, BR)",Cunha; Fabio Eduardo Sabonge,"Disclosed is a support post for supporting roadway signs. In one embodiment, a polymer support post is formed of a composition of high density polyethylene--HDPE--, ground rubber and `XLPE`/Polycure. All these materials may be sourced from recycled materials. Additionally, the support may include ultra-violet materials and flame retardant materials. In one embodiment, the ultra-violet materials and flame retardant material are included in recycled XLPE material. One or more support rods may be disposed within the polymer support post. Additionally, one or more fragility apertures may extend through the support post to allow the support post to collapse upon impact.",55162340,BR,No other references field

Hat making kit and packaging method therefore,"9,546,030",B65D 71/063 (20130101); B65D 63/10 (20130101); B65B 61/20 (20130101); D04B 3/00 (20130101); B65D 67/00 (20130101); D04B 31/00 (20130101); D04B 1/24 (20130101); B65D 2203/12 (20130101),"B65D 71/06 (20060101); B65D 63/10 (20060101); B65B 61/20 (20060101); D04B 1/24 (20060101); B65D 67/00 (20060101)Lombardi; Dominick (Kearny, NJ), Schmitz; Luis Carlos (Balneario Camboriu, BR)","The Dollfus Mieg Company, Inc.","The disclosure herein relates to a kit for creating a knitted garment such as a hat. The kit includes a length of yarn, a topper, a stabilizer, and optionally instructions for creating the garment from the yarn, topper and stabilizer. A method of packaging the kit for an effective presentation to the purchaser is also provided.","The Dollfus Mieg Company, Inc.",US,No other references field
